,coronavirus,covid19,corona,covid_19,stayhome,quarantine,love,covid,virus,art,instagood,photooftheday,instagram,photography,picoftheday,stayathome,staysafe,explorepage,quedateencasa,fashion,explore,yomequedoencasa,fitness,beautiful,nature,cuarentena,life,memes,tiktok,drawing,follow,lockdown,artist,socialdistancing,likeforlikes,cute,illustration,design,music,followforfollowback,italia,pandemic,shanghai,motivation,2020,repost,travel,streetphotography,iorestoacasa,india,tbt,coronamemes,funny,followme,mila_polaroid,photoalbum,gerobokphoto,polaroid,polaroidmurahmalaysia,polaroidmurah,polaroidkalisair,polaroidfamily,polaroidmember,polaroidviral,quarentena,alien,food,me,ancientaliens,china,ufo,meme,s4,spaceship,contacttour,ufos,uap,ufologia,area51,unidentifiedflyingobject,unidentified,unacknowledged,ufosightings,et,ets,disclosure,siriusdisclosure,cseti,mufon,drstevengreer,djteez,tothestarsacademy,коронавирус,viral,artwork,health,italy,superring,happy,covıd19,instadaily,goodvibes,mask,smile,paris,comedy,saude,fun,magras,leica,كورونا,style,selflove,selfcare,pandemia,nutricaosaudavel,السعودية,girl,artistsoninstagram,herbagaharu,اكسبلورر,الامارات,قطر,ipastayathome,luciecovidphoto,مصر,كرونا,كويت,البحرين,حجر,صحي,حجر_صحي,وزارة,الصحة,وزارة_الصحة_الكويت,حظر_التجول,ضحك,کرونا,peace,mentalhealth,quoteoftheday,selfie,happiness,confinement,support,like,mindfulness,空城紀,theemptiness,anxiety,draw,photo,lifestyle,sketch,quarantinelife,humor,کروناویروس,feminism,depression,psychology,like4likes,youtube,funnymemes,instalike,like4like,facts,model,blogger,memesdaily,dankmemes,کرونا_ویروس,family,instaart,likeforfollow,therapy,mentalhealthawareness,mentalhealthawarenessweek,suicide,mentalhealthsupport,psych,therapistsofinstagram,suicidepreventation,psychotherapy,psychotherapis,mytherapistsays,psychologicalcounseling,advice,therapistproblems,takeiteasy,fiqueemcasa,spring,facebook,friends,newyork,photographer,digitalart,artoftheday,travelphotography,beauty,sketchbook
coronavirus,3906.0,881.0,814.0,508.0,390.0,354.0,294.0,314.0,289.0,229.0,209.0,191.0,255.0,171.0,152.0,176.0,174.0,157.0,148.0,111.0,135.0,130.0,129.0,90.0,113.0,128.0,93.0,120.0,120.0,98.0,95.0,116.0,92.0,111.0,86.0,87.0,79.0,98.0,98.0,88.0,100.0,102.0,102.0,76.0,98.0,85.0,87.0,98.0,93.0,96.0,74.0,91.0,89.0,74.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,90.0,89.0,81.0,77.0,87.0,100.0,86.0,83.0,84.0,85.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,82.0,75.0,77.0,77.0,76.0,133.0,60.0,81.0,61.0,87.0,76.0,58.0,64.0,75.0,74.0,57.0,71.0,70.0,70.0,52.0,47.0,47.0,72.0,69.0,69.0,57.0,66.0,124.0,68.0,68.0,68.0,68.0,68.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,86.0,60.0,41.0,43.0,55.0,39.0,59.0,38.0,53.0,38.0,60.0,60.0,37.0,38.0,50.0,52.0,33.0,58.0,56.0,78.0,57.0,35.0,35.0,39.0,87.0,56.0,48.0,47.0,32.0,42.0,51.0,49.0,49.0,85.0,42.0,28.0,35.0,30.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,50.0,49.0,81.0,40.0,49.0,43.0,47.0,25.0,43.0,40.0,25.0
covid19,881.0,888.0,196.0,44.0,84.0,78.0,40.0,102.0,72.0,28.0,19.0,19.0,26.0,11.0,14.0,58.0,80.0,5.0,33.0,9.0,6.0,49.0,11.0,9.0,5.0,37.0,6.0,15.0,15.0,16.0,10.0,29.0,11.0,39.0,6.0,8.0,12.0,6.0,6.0,2.0,33.0,35.0,1.0,9.0,20.0,7.0,3.0,3.0,13.0,14.0,5.0,25.0,9.0,4.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,16.0,84.0,16.0,3.0,84.0,24.0,84.0,7.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,30.0,12.0,33.0,22.0,7.0,133.0,6.0,10.0,6.0,3.0,10.0,5.0,0.0,7.0,10.0,2.0,0.0,1.0,0.0,5.0,1.0,2.0,24.0,0.0,0.0,7.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9.0,0.0,1.0,8.0,1.0,8.0,3.0,10.0,4.0,0.0,0.0,1.0,3.0,12.0,7.0,3.0,26.0,6.0,28.0,1.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,4.0,5.0,1.0,0.0,20.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0,1.0,5.0,4.0,9.0,3.0,5.0,5.0,2.0
corona,814.0,196.0,860.0,133.0,109.0,91.0,74.0,119.0,164.0,53.0,59.0,47.0,82.0,34.0,39.0,62.0,60.0,92.0,11.0,25.0,82.0,7.0,13.0,9.0,12.0,10.0,9.0,64.0,46.0,20.0,18.0,57.0,20.0,23.0,51.0,18.0,10.0,11.0,23.0,33.0,49.0,53.0,1.0,13.0,30.0,19.0,16.0,4.0,20.0,67.0,13.0,48.0,51.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,22.0,17.0,3.0,54.0,0.0,38.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,34.0,34.0,31.0,11.0,0.0,9.0,18.0,6.0,4.0,41.0,10.0,8.0,36.0,3.0,16.0,0.0,0.0,67.0,6.0,3.0,1.0,20.0,0.0,68.0,9.0,41.0,0.0,66.0,67.0,66.0,0.0,0.0,67.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,76.0,4.0,3.0,9.0,9.0,1.0,8.0,1.0,14.0,1.0,0.0,0.0,1.0,3.0,12.0,6.0,2.0,8.0,3.0,69.0,54.0,0.0,1.0,16.0,8.0,22.0,15.0,15.0,2.0,11.0,19.0,10.0,20.0,91.0,6.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,3.0,4.0,12.0,10.0,5.0,1.0,6.0,9.0,3.0
covid_19,508.0,44.0,133.0,516.0,91.0,60.0,37.0,80.0,112.0,55.0,32.0,41.0,52.0,31.0,40.0,52.0,26.0,10.0,52.0,13.0,11.0,19.0,64.0,10.0,14.0,21.0,10.0,5.0,20.0,26.0,7.0,23.0,29.0,28.0,38.0,10.0,24.0,19.0,22.0,17.0,14.0,27.0,31.0,6.0,18.0,4.0,14.0,6.0,22.0,11.0,3.0,24.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,4.0,8.0,0.0,13.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,19.0,16.0,12.0,20.0,0.0,6.0,38.0,11.0,5.0,12.0,5.0,7.0,7.0,40.0,7.0,71.0,0.0,0.0,6.0,7.0,5.0,22.0,69.0,1.0,4.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,6.0,4.0,2.0,19.0,1.0,10.0,0.0,0.0,0.0,1.0,5.0,11.0,5.0,10.0,13.0,10.0,0.0,0.0,1.0,0.0,17.0,7.0,3.0,11.0,2.0,0.0,3.0,5.0,0.0,1.0,0.0,3.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,3.0,4.0,11.0,16.0,17.0,6.0,9.0,9.0,13.0
stayhome,390.0,84.0,109.0,91.0,413.0,119.0,58.0,54.0,77.0,30.0,56.0,57.0,28.0,38.0,34.0,66.0,99.0,8.0,26.0,11.0,9.0,20.0,8.0,5.0,21.0,36.0,10.0,6.0,6.0,9.0,10.0,45.0,19.0,49.0,20.0,21.0,11.0,14.0,14.0,26.0,22.0,36.0,23.0,10.0,11.0,4.0,11.0,1.0,32.0,23.0,17.0,28.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,14.0,0.0,10.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,13.0,15.0,16.0,0.0,3.0,19.0,8.0,7.0,35.0,5.0,19.0,5.0,2.0,5.0,0.0,0.0,0.0,4.0,3.0,3.0,26.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,3.0,3.0,8.0,2.0,8.0,2.0,9.0,0.0,0.0,0.0,0.0,4.0,9.0,12.0,3.0,27.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,12.0,3.0,0.0,3.0,20.0,0.0,0.0,2.0,5.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,0.0,4.0,7.0,8.0,14.0,3.0,3.0,1.0,3.0
quarantine,354.0,78.0,91.0,60.0,119.0,366.0,58.0,42.0,55.0,23.0,40.0,39.0,27.0,23.0,21.0,27.0,46.0,25.0,14.0,16.0,23.0,9.0,15.0,8.0,8.0,34.0,20.0,11.0,22.0,10.0,9.0,25.0,19.0,51.0,7.0,24.0,9.0,10.0,13.0,8.0,5.0,18.0,0.0,9.0,18.0,1.0,12.0,1.0,17.0,15.0,11.0,35.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,9.0,0.0,10.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,20.0,6.0,16.0,15.0,0.0,4.0,10.0,3.0,9.0,6.0,5.0,10.0,3.0,1.0,5.0,0.0,0.0,0.0,3.0,8.0,5.0,12.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,7.0,1.0,5.0,2.0,7.0,2.0,0.0,0.0,2.0,4.0,6.0,10.0,6.0,42.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,6.0,4.0,1.0,1.0,8.0,3.0,0.0,1.0,0.0,18.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,3.0,1.0,9.0,8.0,6.0,3.0,1.0,8.0,5.0
love,294.0,40.0,74.0,37.0,58.0,58.0,377.0,39.0,36.0,57.0,126.0,99.0,65.0,52.0,62.0,31.0,30.0,22.0,16.0,58.0,13.0,15.0,20.0,58.0,44.0,10.0,45.0,14.0,18.0,14.0,50.0,13.0,20.0,21.0,14.0,61.0,10.0,30.0,37.0,21.0,12.0,13.0,0.0,6.0,14.0,19.0,37.0,4.0,17.0,11.0,51.0,16.0,16.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,25.0,49.0,0.0,13.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,25.0,4.0,18.0,7.0,0.0,44.0,11.0,47.0,19.0,16.0,44.0,5.0,16.0,2.0,36.0,0.0,0.0,0.0,28.0,10.0,7.0,11.0,0.0,0.0,39.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,6.0,1.0,30.0,6.0,3.0,3.0,29.0,5.0,0.0,0.0,5.0,9.0,18.0,24.0,8.0,6.0,1.0,0.0,0.0,3.0,0.0,11.0,5.0,5.0,18.0,26.0,0.0,17.0,14.0,1.0,0.0,0.0,34.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,0.0,23.0,8.0,12.0,1.0,5.0,9.0,13.0,1.0
covid,314.0,102.0,119.0,80.0,54.0,42.0,39.0,326.0,65.0,17.0,17.0,18.0,22.0,17.0,11.0,37.0,27.0,11.0,21.0,6.0,10.0,18.0,4.0,5.0,5.0,21.0,6.0,8.0,3.0,16.0,7.0,14.0,9.0,20.0,9.0,8.0,10.0,1.0,10.0,0.0,45.0,23.0,1.0,4.0,4.0,7.0,8.0,3.0,16.0,10.0,4.0,15.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,4.0,0.0,26.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,3.0,21.0,17.0,0.0,5.0,36.0,5.0,1.0,8.0,9.0,1.0,4.0,12.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,3.0,2.0,11.0,0.0,0.0,0.0,1.0,1.0,6.0,3.0,10.0,9.0,15.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,2.0,8.0,3.0,5.0,0.0,1.0,5.0,9.0
virus,289.0,72.0,164.0,112.0,77.0,55.0,36.0,65.0,301.0,61.0,21.0,37.0,58.0,10.0,21.0,38.0,30.0,3.0,10.0,12.0,4.0,10.0,5.0,4.0,7.0,10.0,4.0,8.0,2.0,31.0,15.0,13.0,24.0,15.0,35.0,7.0,19.0,16.0,5.0,21.0,15.0,29.0,26.0,3.0,11.0,15.0,12.0,0.0,13.0,14.0,8.0,15.0,19.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,1.0,11.0,3.0,33.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,13.0,22.0,13.0,0.0,1.0,13.0,0.0,1.0,26.0,5.0,2.0,7.0,2.0,5.0,0.0,0.0,0.0,5.0,1.0,0.0,13.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,19.0,0.0,0.0,0.0,0.0,5.0,6.0,2.0,10.0,7.0,10.0,1.0,1.0,0.0,0.0,16.0,1.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,3.0,14.0,10.0,1.0,2.0,13.0
art,229.0,28.0,53.0,55.0,30.0,23.0,57.0,17.0,61.0,293.0,76.0,65.0,19.0,36.0,45.0,14.0,8.0,0.0,7.0,39.0,3.0,8.0,6.0,59.0,35.0,6.0,7.0,12.0,3.0,109.0,37.0,5.0,86.0,11.0,1.0,38.0,71.0,52.0,23.0,19.0,2.0,5.0,3.0,1.0,14.0,26.0,20.0,6.0,10.0,10.0,35.0,3.0,2.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,25.0,40.0,0.0,12.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,39.0,4.0,16.0,0.0,26.0,12.0,29.0,6.0,20.0,26.0,8.0,6.0,0.0,31.0,0.0,0.0,0.0,31.0,0.0,0.0,6.0,0.0,0.0,36.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,26.0,1.0,8.0,1.0,16.0,0.0,0.0,0.0,1.0,50.0,17.0,1.0,47.0,1.0,17.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,6.0,26.0,0.0,15.0,3.0,1.0,0.0,0.0,6.0,52.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,25.0,5.0,9.0,34.0,40.0,6.0,5.0,44.0
